vehicle,clip,frame,x1,y1,x2,y2,accepted
dashcam_1,dashcam_highway.mp4,0,1047,671,1191,783,grey|white
dashcam_1,dashcam_highway.mp4,13,1043,681,1186,795,grey|white
dashcam_1,dashcam_highway.mp4,25,1036,672,1181,784,grey|white
dashcam_1,dashcam_highway.mp4,37,1022,650,1173,766,grey|white
dashcam_1,dashcam_highway.mp4,49,1022,629,1183,753,grey|white
dashcam_1,dashcam_highway.mp4,61,1045,622,1202,739,grey|white
dashcam_5,dashcam_highway.mp4,42,902,593,1003,701,white
dashcam_5,dashcam_highway.mp4,54,916,577,1020,688,white
dashcam_5,dashcam_highway.mp4,68,937,567,1043,681,white
dashcam_5,dashcam_highway.mp4,80,945,590,1054,704,white
dashcam_5,dashcam_highway.mp4,92,951,600,1067,718,white
dashcam_5,dashcam_highway.mp4,104,939,612,1057,731,white
dashcam_21,dashcam_highway.mp4,176,0,503,277,670,white
dashcam_25,dashcam_highway.mp4,212,1028,543,1172,692,white
dashcam_58,dashcam_highway.mp4,451,407,561,512,664,orange|yellow
dashcam_58,dashcam_highway.mp4,463,120,506,319,664,orange|yellow
dashcam_60,dashcam_highway.mp4,504,426,570,543,632,black|grey
dashcam_65,dashcam_highway.mp4,525,299,528,487,596,orange|yellow
dashcam_65,dashcam_highway.mp4,539,0,393,338,581,orange|yellow
dashcam_76,dashcam_highway.mp4,605,383,614,494,675,black
highway_90,highway_traffic.mp4,1,1212,459,1496,679,white
highway_90,highway_traffic.mp4,13,1289,521,1597,759,white
highway_90,highway_traffic.mp4,25,1365,598,1706,865,white
highway_90,highway_traffic.mp4,37,1454,696,1821,986,white
highway_90,highway_traffic.mp4,49,1561,813,1911,1080,white
highway_90,highway_traffic.mp4,61,1690,961,1884,1079,white
highway_91,highway_traffic.mp4,1,900,290,1108,464,red
highway_91,highway_traffic.mp4,13,958,312,1175,494,red
highway_91,highway_traffic.mp4,25,1014,336,1250,534,red
highway_91,highway_traffic.mp4,37,1078,372,1330,583,red
highway_91,highway_traffic.mp4,49,1145,418,1418,645,red
highway_91,highway_traffic.mp4,61,1220,474,1520,720,red
highway_92,highway_traffic.mp4,1,860,861,1209,1076,black
highway_92,highway_traffic.mp4,13,987,1012,1150,1077,black
highway_93,highway_traffic.mp4,1,632,398,882,595,black|grey
highway_93,highway_traffic.mp4,13,684,451,957,664,black|grey
highway_93,highway_traffic.mp4,25,741,511,1034,741,black|grey
highway_93,highway_traffic.mp4,37,799,592,1112,842,black|grey
